"","Variable","abs.coef","Type","y","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","Variable.y.y","DataFile","SurveyText","Values","ValueLabels","variable_group","variable_group_name","num.values","make.factor","num.na","Ref","score.pval","zph.pval","score.pval.xrand","score.pval.adjust","score.pval.xrand.adjust","zph.pval.adjust"
"56","pa_off_leash_walk_brisk_pace_pct",0.219385977117158,"numeric","x",-0.219385977117158,0.803011714183771,0.0398857391612759,-5.50036132538706,3.79013744610902e-08,1.24531184581343,0.74262758652001,0.868305762970716,"pa_off_leash_walk_brisk_pace_pct","HLES_dog_owner","What % of the time are your off-leash activities at a brisk pace?","Numeric",NA,"pa","Physical Activity",1,FALSE,29356,NA,3.60991381532573e-08,0.810750330101374,0.293481245996562,6.78487722320402e-06,1,1
"11","db_training_obeys_sit_command_frequency",0.184620174203207,"factor","xNever",0.184620174203207,1.20276151350671,0.0459285175784123,4.01972856816053,5.8265230457522e-05,0.831420018657274,1.0992212053117,1.3160547225458,"db_training_obeys_sit_command_frequency|Never","HLES_dog_owner","Obeys a """"""""sit"""""""" command immediately:","0 | 1 | 2 | 3 | 4 ","Never | Seldom | Sometimes | Usually | Always","db","Dog Behavior",5,TRUE,181,"Usually",4.208179068839e-08,0.00123594343885584,0.484412998005446,7.66215771566274e-06,1,0.326780191981409
"43","hs_health_conditions_orthopedic",0.277174990932289,"factor","xBoth congenital and non-congenital disorder(s)",0.277174990932289,1.31939723338689,0.107756319359749,2.57223884946301,0.0101043154952709,0.757921856053163,1.06820159905072,1.62966340905686,"hs_health_conditions_orthopedic|Both congenital and non-congenital disorder(s)","HLES_dog_owner","Orthopedic disorders","0 | 1 | 2 | 3"," No disorder(s)  |  Only congenital disorder(s)  |  Only non-congenital disorder(s)  |  Both congenital and non-congenital disorder(s)","hs","Health Status",4,TRUE,0,"No disorder(s)",2.2726976975256e-07,0.993711696449626,0.608114488236387,4.01268053873844e-05,1,1
"2","db_barks_frequency",0.0952394558278033,"factor","xNever",0.0952394558278033,1.0999222063768,0.0249827494252837,3.81220874478358,0.000137730479715905,0.909155205888655,1.04736152326974,1.15512058940628,"db_barks_frequency|Never","HLES_dog_owner","Barks persistently when alarmed or excited:","0 | 1 | 2 | 3 | 4 ","Never | Seldom | Sometimes | Usually | Always","db","Dog Behavior",5,TRUE,102,"Seldom",4.00635354638448e-07,0.0322096825291984,0.569694434178254,6.48415853137304e-05,1,1
"28","df_primary_diet_component_change_health_condition_specific",0.208830226759943,"factor","xYes",0.208830226759943,1.23223578011001,0.0412331580137683,5.06461878787483,4.09218404654485e-07,0.811533000535599,1.13656973524913,1.33595411763318,"df_primary_diet_component_change_health_condition_specific|Yes","HLES_dog_owner","What were the reasons for the diet change? Health diagnosis prompted change to a condition-specific diet","True | False","Yes | No","df","Diet Survey",2,TRUE,39411,"No",3.92457458429152e-07,1.72192417492456e-08,0.962159212448703,6.48415853137304e-05,1,4.54918245818603e-05
"69","pa_other_aerobic_activity_avg_intensity",0.202229734110272,"factor","xEngages in strenuous exercise most of the time (greater than 60%)",-0.202229734110272,0.816907234926528,0.0616532439043372,-3.28011506457075,0.00103764757169151,1.22412920004306,0.723924718704329,0.921832634296142,"pa_other_aerobic_activity_avg_intensity|Engages in strenuous exercise most of the time (greater than 60%)","HLES_dog_owner","During these periods of other aerobic activity, which of the following best describes your dog's activity level?","1 | 2 | 3"," Bursts of exercise less than 30% of the time  |  Engages in moderate exercise (greater than 30% of the time but less than 60% of the time)  |  Engages in strenuous exercise most of the time (greater than 60%)","pa","Physical Activity",3,TRUE,27073,"Bursts of exercise less than 30% of the time",3.90736889865732e-07,0.42273002891473,0.609708456826489,6.48415853137304e-05,1,1
"62","pa_on_leash_walk_avg_hours",0.0694650049255649,"numeric","x",-0.0694650049255649,0.932892779465584,0.0138738684331181,-5.00689517566319,5.53150309786998e-07,1.07193454811909,0.90786709033247,0.958608310893078,"pa_on_leash_walk_avg_hours","HLES_dog_owner","Average number of hours of leash-walking:"," 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8","0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8+","pa","Physical Activity",9,FALSE,2615,NA,5.59400241374849e-07,0.0119526117622675,0.44237150012765,8.80902371023695e-05,1,1
"14","de_daytime_sleep_avg_hours",0.00978818305287157,"numeric","x",0.00978818305287157,1.0098362439984,0.00201142612841434,4.86629009865148,1.13712570875951e-06,0.990259565294021,1.00586298066971,1.01382520213023,"de_daytime_sleep_avg_hours","HLES_dog_owner","How many hours does your dog sleep on an average day?","99 | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24","Don't know | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24","de","Dog Environment",26,FALSE,5483,NA,1.13080227251722e-06,0.00960150249722794,0.0497072467495522,0.000168938611004834,1,1
"48","mp_recent_non_prescription_meds_upset_stomach",0.116767516321857,"factor","xYes",0.116767516321857,1.12385812064707,0.0239927868880176,4.86677587171723,1.13433545073526e-06,0.889792031243446,1.07223206539384,1.17796987807899,"mp_recent_non_prescription_meds_upset_stomach|Yes","HLES_dog_owner","Given in past year: Medications for stomach or GI upset (such as Pepcid)","True | False","Yes | No","mp","Medicines and Preventatives",2,TRUE,0,"No",1.11897976875154e-06,0.0523348485578914,0.519893536490242,0.000168938611004834,1,1
"53","pa_cold_weather_daily_hours_outside",0.157468549247804,"factor","xBetween 3-8 hours",-0.157468549247804,0.854303681679359,0.0394866765476797,-3.98789067643266,6.66633685939166e-05,1.17054394291528,0.790680736216699,0.923046113432673,"pa_cold_weather_daily_hours_outside|Between 3-8 hours","HLES_dog_owner","How much time per day does your dog spend outdoors on average in cold weather (below 40 degrees Fahrenheit)?","1 | 2 | 3 | 4 | 5"," Less than 3 hours  |  Between 3-8 hours  |  Between 8-16 hours  |  More than 16 hours  |  My dog does not spend time in a cold area","pa","Physical Activity",5,TRUE,7951,"Less than 3 hours",1.58149194598886e-06,0.293869389731474,0.925574910272305,0.00023036359466633,1,1
